env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport.width,env.viewport.height,env.slow_mo,env.storage_state,env.task_kwargs.start_url,env.task_kwargs.goal,env.pre_observation_delay,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
acidwave.task_0,AcidwaveReasoningAgent-GPT4o,acidwave,0,C:\Users\25781\agentlab_results\2025-12-14_21-13-26_acidwavereasoningagent-gpt4o-on-acidwave-full-experiment\2025-12-14_21-13-26_AcidwaveReasoningAgent-GPT4o_on_acidwave.task_0_0,gpt-4o-2024-05-13,128000,128000,4096,0.05,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,0,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,"Play the song ""Vibrant Horizon"" by Denys Brodovskyi.",,AcidwaveReasoningAgent-GPT4o_on_acidwave.task_0_0,True,,,0,30,30,98889b62-b8ad-4857-8785-79434cadbd05,(),True,False,3,1.0,0,4,51,17,48,16,3,1,8,4,495,495,23644,9178,2457,1001,22867,8865,3,1,0.0,0.0,0,0,5266,1905,284,105,0.030590000000000006,0.010785000000000001,9.64446496963501,4.769352197647095,3.1477596759796143,1.449399471282959,True,False,
acidwave.task_1,AcidwaveReasoningAgent-GPT4o,acidwave,8,C:\Users\25781\agentlab_results\2025-12-14_21-13-26_acidwavereasoningagent-gpt4o-on-acidwave-full-experiment\2025-12-14_21-13-26_AcidwaveReasoningAgent-GPT4o_on_acidwave.task_1_1,gpt-4o-2024-05-13,128000,128000,4096,0.05,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,1,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,"Play the song ""Watch and Learn"" by Mise Darling",,AcidwaveReasoningAgent-GPT4o_on_acidwave.task_1_1,True,,,1,30,30,73197430-23d7-486d-a1af-000edd34ec8f,(),True,False,2,1.0,0,3,24,12,32,16,2,1,4,4,0,0,17518,10285,1908,1180,17054,10053,2,1,0.0,0.0,0,0,3658,2062,160,85,0.02069,0.011435,6.316565275192261,4.0694122314453125,1.538501501083374,0.7941768169403076,True,False,
acidwave.task_10,AcidwaveReasoningAgent-GPT4o,acidwave,1,C:\Users\25781\agentlab_results\2025-12-14_21-13-26_acidwavereasoningagent-gpt4o-on-acidwave-full-experiment\2025-12-14_21-13-26_AcidwaveReasoningAgent-GPT4o_on_acidwave.task_10_10,gpt-4o-2024-05-13,128000,128000,4096,0.05,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,10,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,Login with username 'aciduser' and password 'aciduser',,AcidwaveReasoningAgent-GPT4o_on_acidwave.task_10_10,True,,,10,30,30,8aa66f9c-8426-4e0c-a45a-8cff42d2c1be,(),True,False,4,2.8000000000000003,0,5,52,13,64,16,4,1,20,8,0,0,35211,9329,3686,1007,34283,9097,4,1,0.0,0.0,0,0,7253,1920,302,92,0.040795000000000005,0.010575000000000001,12.074508666992188,5.232115030288696,3.560734272003174,1.0984575748443604,True,False,
acidwave.task_11,AcidwaveReasoningAgent-GPT4o,acidwave,2,C:\Users\25781\agentlab_results\2025-12-14_21-13-26_acidwavereasoningagent-gpt4o-on-acidwave-full-experiment\2025-12-14_21-13-26_AcidwaveReasoningAgent-GPT4o_on_acidwave.task_11_11,gpt-4o-2024-05-13,128000,128000,4096,0.05,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,11,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,Remove all songs from the FAVORITES.DAT playlist,,AcidwaveReasoningAgent-GPT4o_on_acidwave.task_11_11,True,,,11,30,30,8d3bd633-feb9-4ac9-8ad6-4aae0b302645,(),True,False,3,2.2,0,4,33,11,48,16,3,1,8,4,0,0,19991,7233,1980,728,19295,7001,3,1,0.0,0.0,0,0,4624,1595,245,94,0.026795000000000003,0.009130000000000001,9.086528778076172,4.60343337059021,2.5829265117645264,1.0334718227386475,True,False,
acidwave.task_12,AcidwaveReasoningAgent-GPT4o,acidwave,3,C:\Users\25781\agentlab_results\2025-12-14_21-13-26_acidwavereasoningagent-gpt4o-on-acidwave-full-experiment\2025-12-14_21-13-26_AcidwaveReasoningAgent-GPT4o_on_acidwave.task_12_12,gpt-4o-2024-05-13,128000,128000,4096,0.05,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,12,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,Navigate to PLAYLIST1 and remove all songs from it,,AcidwaveReasoningAgent-GPT4o_on_acidwave.task_12_12,True,,,12,30,30,8ef9e67c-b884-42ba-b218-3f4e6ecf49e8,(),True,False,1,1.0,0,2,11,11,16,16,1,1,0,0,0,0,7233,7233,728,728,7001,7001,1,1,0.0,0.0,0,0,1596,1596,61,61,0.008895,0.008895,4.732226610183716,4.732226610183716,0.6922225952148438,0.6922225952148438,True,False,
acidwave.task_13,AcidwaveReasoningAgent-GPT4o,acidwave,4,C:\Users\25781\agentlab_results\2025-12-14_21-13-26_acidwavereasoningagent-gpt4o-on-acidwave-full-experiment\2025-12-14_21-13-26_AcidwaveReasoningAgent-GPT4o_on_acidwave.task_13_13,gpt-4o-2024-05-13,128000,128000,4096,0.05,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,13,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,"Play the first song in the SONGS list, then pause it and click the player bar information button to show the song details",,AcidwaveReasoningAgent-GPT4o_on_acidwave.task_13_13,True,,,13,30,30,ff7c594f-308d-42e5-8948-f59a07a48d55,(),True,False,4,2.8000000000000003,0,5,104,26,64,16,4,1,12,4,0,0,47204,14878,4770,1432,46276,14646,4,1,0.0,0.0,0,0,8385,2358,396,148,0.047865,0.013055,11.7842435836792,4.579421281814575,3.5790255069732666,1.052687406539917,True,False,
acidwave.task_14,AcidwaveReasoningAgent-GPT4o,acidwave,5,C:\Users\25781\agentlab_results\2025-12-14_21-13-26_acidwavereasoningagent-gpt4o-on-acidwave-full-experiment\2025-12-14_21-13-26_AcidwaveReasoningAgent-GPT4o_on_acidwave.task_14_14,gpt-4o-2024-05-13,128000,128000,4096,0.05,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,14,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,Navigate to Denys Brodovskyi's artist page and visit his website,,AcidwaveReasoningAgent-GPT4o_on_acidwave.task_14_14,True,,,14,30,30,ba5c4b4d-8a21-47c5-aeb8-04f50b430401,(),True,False,3,1.0,0,4,45,15,48,16,3,1,8,4,0,0,24336,10464,2186,913,23559,10151,3,1,0.0,0.0,0,0,4843,1810,225,85,0.027590000000000003,0.01004,10.182385206222534,5.290813684463501,2.064204692840576,0.7574880123138428,True,False,
acidwave.task_15,AcidwaveReasoningAgent-GPT4o,acidwave,6,C:\Users\25781\agentlab_results\2025-12-14_21-13-26_acidwavereasoningagent-gpt4o-on-acidwave-full-experiment\2025-12-14_21-13-26_AcidwaveReasoningAgent-GPT4o_on_acidwave.task_15_15,gpt-4o-2024-05-13,128000,128000,4096,0.05,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,15,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,Navigate to the KONFLIKT album and download the first song KONFLIKT,,AcidwaveReasoningAgent-GPT4o_on_acidwave.task_15_15,True,,,15,30,30,cb43e8a8-4d4f-480e-8f72-8068f795ba67,(),True,False,7,1.0,0,8,133,19,112,16,7,1,31,8,1002,501,57027,9766,5982,1072,55160,9453,7,1,0.0,0.0,0,0,12716,2041,589,106,0.07241500000000001,0.011435,18.478538990020752,4.165180921554565,5.649307727813721,0.9236342906951904,True,False,
acidwave.task_16,AcidwaveReasoningAgent-GPT4o,acidwave,7,C:\Users\25781\agentlab_results\2025-12-14_21-13-26_acidwavereasoningagent-gpt4o-on-acidwave-full-experiment\2025-12-14_21-13-26_AcidwaveReasoningAgent-GPT4o_on_acidwave.task_16_16,gpt-4o-2024-05-13,128000,128000,4096,0.05,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,16,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,"Navigate to the album 'Luminary Echoes' by Denys Brodovskyi, then create a new playlist named 'PRESENTATION_MIX' and add all songs from this album to it.",,AcidwaveReasoningAgent-GPT4o_on_acidwave.task_16_16,True,"Exception uncaught by agent or environment in task acidwave.task_16.
KeyboardInterrupt:
Early termination??",,16,30,30,6c9166a0-4bb4-489b-97cc-a7ab9404cdd0,(),True,False,10,0.0,0,11,400,40,160,16,10,1,44,9,3251,653,89772,9171,9737,1001,86723,8858,10,1,0.0,0.0,0,0,20409,2205,936,132,0.11608500000000002,0.012895,25.289270401000977,3.621088743209839,8.41379427909851,1.1194469928741455,,,"Exception uncaught by agent or environment in task <task_name>.
KeyboardInterrupt:
Early termination?"
acidwave.task_2,AcidwaveReasoningAgent-GPT4o,acidwave,9,C:\Users\25781\agentlab_results\2025-12-14_21-13-26_acidwavereasoningagent-gpt4o-on-acidwave-full-experiment\2025-12-14_21-13-26_AcidwaveReasoningAgent-GPT4o_on_acidwave.task_2_2,gpt-4o-2024-05-13,128000,128000,4096,0.05,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,2,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,"Open the album ""Luminary Echoes"" by Denys Brodovskyi",,AcidwaveReasoningAgent-GPT4o_on_acidwave.task_2_2,True,,,2,30,30,c3e91cb2-74a9-4f38-bfd8-8fec0e1bbc84,(),True,False,1,1.0,0,2,17,17,16,16,1,1,0,0,0,0,7233,7233,728,728,7001,7001,1,1,0.0,0.0,0,0,1602,1602,107,107,0.009615000000000002,0.009615000000000002,3.5950851440429688,3.5950851440429688,1.0006306171417236,1.0006306171417236,True,False,
