env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport.width,env.viewport.height,env.slow_mo,env.storage_state,env.task_kwargs.start_url,env.task_kwargs.goal,env.pre_observation_delay,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
acidwave.task_0,AcidwaveAgent-GPT4oMini,acidwave,0,C:\Users\25781\agentlab_results\2025-12-14_20-27-17_acidwaveagent-gpt4omini-on-acidwave-full-experiment\2025-12-14_20-27-17_AcidwaveAgent-GPT4oMini_on_acidwave.task_0_0,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,0,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,"Play the song ""Vibrant Horizon"" by Denys Brodovskyi.",,AcidwaveAgent-GPT4oMini_on_acidwave.task_0_0,True,,,0,30,30,25c14d4b-02a7-45c6-a931-a4b5e7e1808a,(),True,False,2,1.0,0,3,34,17,32,16,2,1,4,4,0,0,14127,10285,1759,1180,13663,10053,2,1,0.0,0.0,0,0,3521,2068,173,92,0.00063195,0.0003588,8.609672784805298,6.217934846878052,4.514383792877197,2.8715269565582275,True,False,
acidwave.task_1,AcidwaveAgent-GPT4oMini,acidwave,8,C:\Users\25781\agentlab_results\2025-12-14_20-27-17_acidwaveagent-gpt4omini-on-acidwave-full-experiment\2025-12-14_20-27-17_AcidwaveAgent-GPT4oMini_on_acidwave.task_1_1,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,1,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,"Play the song ""Watch and Learn"" by Mise Darling",,AcidwaveAgent-GPT4oMini_on_acidwave.task_1_1,True,,,1,30,30,a5211d25-f34e-430b-9cca-9d49876c8017,(),True,False,2,1.0,0,3,24,12,32,16,2,1,4,4,0,0,17518,10285,1908,1180,17054,10053,2,1,0.0,0.0,0,0,3658,2062,185,112,0.0006596999999999999,0.00035309999999999996,6.755441665649414,4.322483777999878,4.310622453689575,2.172074794769287,True,False,
acidwave.task_10,AcidwaveAgent-GPT4oMini,acidwave,1,C:\Users\25781\agentlab_results\2025-12-14_20-27-17_acidwaveagent-gpt4omini-on-acidwave-full-experiment\2025-12-14_20-27-17_AcidwaveAgent-GPT4oMini_on_acidwave.task_10_10,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,10,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,Login with username 'aciduser' and password 'aciduser',,AcidwaveAgent-GPT4oMini_on_acidwave.task_10_10,True,,,10,30,30,17e9dfcb-9f4e-492d-88ec-e911a864f383,(),True,False,4,2.8000000000000003,0,5,52,13,64,16,4,1,24,10,0,0,35211,9329,3686,1007,34283,9097,4,1,0.0,0.0,0,0,7259,1924,300,80,0.00126885,0.00033089999999999997,10.129981756210327,3.9081103801727295,8.635227918624878,2.707831859588623,True,False,
acidwave.task_11,AcidwaveAgent-GPT4oMini,acidwave,2,C:\Users\25781\agentlab_results\2025-12-14_20-27-17_acidwaveagent-gpt4omini-on-acidwave-full-experiment\2025-12-14_20-27-17_AcidwaveAgent-GPT4oMini_on_acidwave.task_11_11,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,11,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,Remove all songs from the FAVORITES.DAT playlist,,AcidwaveAgent-GPT4oMini_on_acidwave.task_11_11,True,,,11,30,30,16759ec3-9ab4-4832-8edd-ae061f6992cc,(),True,False,3,2.2,0,4,33,11,48,16,3,1,8,4,0,0,19991,7233,1980,728,19295,7001,3,1,0.0,0.0,0,0,4624,1595,280,117,0.0008615999999999999,0.0003036,8.28749942779541,4.025943994522095,5.862417459487915,2.4693899154663086,True,False,
acidwave.task_12,AcidwaveAgent-GPT4oMini,acidwave,3,C:\Users\25781\agentlab_results\2025-12-14_20-27-17_acidwaveagent-gpt4omini-on-acidwave-full-experiment\2025-12-14_20-27-17_AcidwaveAgent-GPT4oMini_on_acidwave.task_12_12,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,12,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,Navigate to PLAYLIST1 and remove all songs from it,,AcidwaveAgent-GPT4oMini_on_acidwave.task_12_12,True,,,12,30,30,d7eb622a-6041-4765-ad4b-89f7bf138b5c,(),True,False,1,1.0,0,2,11,11,16,16,1,1,0,0,0,0,7233,7233,728,728,7001,7001,1,1,0.0,0.0,0,0,1596,1596,96,96,0.000297,0.000297,3.696437358856201,3.696437358856201,2.5833656787872314,2.5833656787872314,True,False,
acidwave.task_13,AcidwaveAgent-GPT4oMini,acidwave,4,C:\Users\25781\agentlab_results\2025-12-14_20-27-17_acidwaveagent-gpt4omini-on-acidwave-full-experiment\2025-12-14_20-27-17_AcidwaveAgent-GPT4oMini_on_acidwave.task_13_13,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,13,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,"Play the first song in the SONGS list, then pause it and click the player bar information button to show the song details",,AcidwaveAgent-GPT4oMini_on_acidwave.task_13_13,True,,,13,30,30,539644ea-21db-4188-bec0-b96687eb0f66,(),True,False,15,8.999999999999998,0,16,390,26,240,16,15,1,56,4,0,0,210514,14876,20522,1432,207034,14644,15,1,0.0,0.0,0,0,35313,2523,1219,94,0.006028349999999999,0.00042884999999999993,34.85783648490906,3.7893826961517334,30.62299108505249,2.492952585220337,False,True,
acidwave.task_14,AcidwaveAgent-GPT4oMini,acidwave,5,C:\Users\25781\agentlab_results\2025-12-14_20-27-17_acidwaveagent-gpt4omini-on-acidwave-full-experiment\2025-12-14_20-27-17_AcidwaveAgent-GPT4oMini_on_acidwave.task_14_14,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,14,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,Navigate to Denys Brodovskyi's artist page and visit his website,,AcidwaveAgent-GPT4oMini_on_acidwave.task_14_14,True,,,14,30,30,95e07e81-046d-42b3-b702-bf4e80d3c744,(),True,False,15,0.0,0,16,225,15,240,16,15,1,68,7,5791,648,135627,9171,14742,1001,131013,8858,15,1,0.0,0.0,0,0,31056,2273,1367,133,0.005478599999999998,0.00039134999999999994,38.47955107688904,3.9268198013305664,35.41899490356445,4.583001613616943,False,True,
acidwave.task_15,AcidwaveAgent-GPT4oMini,acidwave,6,C:\Users\25781\agentlab_results\2025-12-14_20-27-17_acidwaveagent-gpt4omini-on-acidwave-full-experiment\2025-12-14_20-27-17_AcidwaveAgent-GPT4oMini_on_acidwave.task_15_15,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,15,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,Navigate to the KONFLIKT album and download the first song KONFLIKT,,AcidwaveAgent-GPT4oMini_on_acidwave.task_15_15,True,,,15,30,30,587d32d0-9de9-416a-a76a-4cdcea565b39,(),True,False,15,0.0,0,16,285,19,240,16,15,1,65,7,4960,637,211000,15750,21432,1610,206467,15437,15,1,0.0,0.0,0,0,37392,2865,1376,110,0.0064344,0.0004908,37.547560691833496,3.862851619720459,32.64970564842224,2.704645872116089,False,True,
acidwave.task_16,AcidwaveAgent-GPT4oMini,acidwave,7,C:\Users\25781\agentlab_results\2025-12-14_20-27-17_acidwaveagent-gpt4omini-on-acidwave-full-experiment\2025-12-14_20-27-17_AcidwaveAgent-GPT4oMini_on_acidwave.task_16_16,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,16,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,"Navigate to the album 'Luminary Echoes' by Denys Brodovskyi, then create a new playlist named 'PRESENTATION_MIX' and add all songs from this album to it.",,AcidwaveAgent-GPT4oMini_on_acidwave.task_16_16,True,"Exception uncaught by agent or environment in task acidwave.task_16.
KeyboardInterrupt:
Early termination??",,16,30,30,e9daa143-0799-4fe7-b9f2-c7b9a31ee240,(),True,False,6,0.0,0,7,240,40,96,16,6,1,20,4,2435,495,43398,7233,4368,728,42006,7001,6,1,0.0,0.0,0,0,10683,1843,517,90,0.00191265,0.00032865,17.896849870681763,4.302351236343384,12.146537780761719,2.400465488433838,,,"Exception uncaught by agent or environment in task <task_name>.
KeyboardInterrupt:
Early termination?"
acidwave.task_2,AcidwaveAgent-GPT4oMini,acidwave,9,C:\Users\25781\agentlab_results\2025-12-14_20-27-17_acidwaveagent-gpt4omini-on-acidwave-full-experiment\2025-12-14_20-27-17_AcidwaveAgent-GPT4oMini_on_acidwave.task_2_2,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,False,True,True,True,False,True,False,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('bid', 'chat')",False,False,False,,False,False,,,False,False,True,False,True,True,True,False,40000,True,,True,20,,4,2,15,False,False,False,1280,720,1000,,https://comp545-webarena-production-9062.up.railway.app,"Open the album ""Luminary Echoes"" by Denys Brodovskyi",,AcidwaveAgent-GPT4oMini_on_acidwave.task_2_2,True,,,2,30,30,2173db7b-27af-48fd-be52-e1acb8dba958,(),True,False,1,1.0,0,2,17,17,16,16,1,1,0,0,0,0,7233,7233,728,728,7001,7001,1,1,0.0,0.0,0,0,1602,1602,99,99,0.00029969999999999997,0.00029969999999999997,4.048229694366455,4.048229694366455,2.110435962677002,2.110435962677002,True,False,
